Bundle Description,Bundle Name,ODR Offer ID,CDC Offer,ODR DA ID,CDC DA ID,ODR Bonus Offer for ADC,CDC Offerid,ODR ADC Bonus DA ID,CDC ADC Bonus DAID , ODR Terrific TT Offer ID,Terrific Thursday ODR DA ID,CDC Terrific Thursday New DA ID,CDC Terrific Thursday Offer ID
Data Bundles,DATA GHC 0.5,32010100,6410100,100100,6410000,32020001,6910001,200202,6910000,32020098,100375,6950000,6950000
Data Bundles,DATA GHC 1,32010101,6410101,100101,6410000,32020001,6910002,200202,6910000,32020098,100375,6950000,6950001
Data Bundles,DATA GHC 3,32021013,6411013,300031,6410000,32020001,6910003,200202,6910000,32020098,100375,6950000,6950002
Data Bundles,DATA GHC 10,32010104,6410104,100019,6410000,32020000,6910004,200203,6910000,32020098,100375,6950000,6950003
Data Bundles,DATA GHC 399,32021014,6411014,300032,6410000,32020000,6910005,200203,6910000,32020098,100375,6950000,6950004
Data Bundles,DATA Flexi Bundles (GHC 0.3 to 399 ),32010108,6410108,100430,6410000,32020001/32020000,6910006,200202/ 200203,6910000,32020098,100375,6950900,6950005
Midnight/Kokrokoo Bundles,DATA GHC 1 (Midnight),32010879,6410879,100238,6410001,NA,NA,NA,NA,NA,NA,NA,NA
Midnight/Kokrokoo Bundles,DATA GHC 3  (Midnight),32012772,,100462,,NA,NA,NA,NA,NA,NA,NA,NA
Midnight/Kokrokoo Bundles,DATA Flexi (GHC 0 – 3) (Midnight),32011222,6411222,100436,6410001,NA,NA,NA,NA,NA,NA,NA,NA
Midnight/Kokrokoo Bundles,Kokrokoo GHC 1.06,32011221,6411223,100108,6410001,N/A,NA,NA,NA,NA,NA,NA,NA
Social Media Bundles,Social Media GHC 0.5,New,6610001,New,6610000,NA,NA,NA,NA,NA,NA,NA,NA
Social Media Bundles,Social Media GHC 1,32110070,6610070,100437,6610000,32020001,6910101,200202,6910100,32020098,100375,6950100,6950101
Social Media Bundles,Social Media GHC 5 ,32110117,6610117,100438,6610000,32020000,6910102,200203,6910100,32020098,100375,6950100,6950102
Social Media Bundles,Social Media GHC 10,32110071,6610071,100439,6610000,32020000,6910103,200203,6910100,32020098,100375,6950100,6950103
Social Media Bundles,"Social Media Flexi (GHC 0.03 – 1,000)",32120007,6610007,300439,6610000,32020000,6910104,200203,6910100,32020098,100375,6950100,6950104
Video Bundles,Video GHC 1 ,32011210,6621210,100110,6620000,32020001,6910200,200202,6910200,32020098,100375,6950200,6950200
Video Bundles,Video GHC 5,32011219,6621219,100221,6620000,32020000,6910201,200203,6910200,32020098,100375,6950200,6950201
Video Bundles,Video GHC 10,32011215,6621215,100206,6620000,32020000,6910202,200203,6910200,32020098,100375,6950200,6950202
Video Bundles,"Video Flexi (GHC 0.03 – 1,000)",32020010,6620010,100442,6620000,32020000,6910203,200203,6910200,32020098,100375,6950200,6950203
MTN Pulse GHC 1,MashUp GHC 1 (50% Voice/50% Data/50 SMS),"33010049
",6000049,100431,6200000,33020051,6910300,200082,6910300,NA,NA,NA,NA
MTN Pulse GHC 2,MashUp GHC 1 (50% Voice/50% Data/50 SMS),"33010049
",6280049,100048,6280000,33020051,6910300,200082,6910300,NA,NA,NA,NA
MTN Pulse GHC 3,MashUp GHC 1 (50% Voice/50% Data/50 SMS),"33010049
",6450049,100434,6450000,33020051,6910300,200082,6910300,NA,NA,NA,NA
MTN Pulse GHC 4,Mashup WhatsApp offer,32112203,6612203,200252,6710000,33020051,6910300,200082,6910300,NA,NA,NA,NA
MTN Pulse GHC 5,MashUp GHC 1 (40% Voice/60% Data/50 SMS),33010051,6000051,100431,6200000,33020051,6910301,200082,6910300,NA,NA,NA,NA
MTN Pulse GHC 6,MashUp GHC 1 (40% Voice/60% Data/50 SMS),33010051,6280051,100048,6280000,33020051,6910301,200082,6910300,NA,NA,NA,NA
MTN Pulse GHC 7,MashUp GHC 1 (40% Voice/60% Data/50 SMS),33010051,6450051,100434,6450000,33020051,6910301,200082,6910300,NA,NA,NA,NA
MTN Pulse GHC 8,Mashup WhatsApp offer,32112203,6612204,200252,6710000,33020051,6910301,200082,6910300,NA,NA,NA,NA
MTN Pulse GHC 9,MashUp GHC 1 (30% Voice/70% Data/50 SMS),33010052,6000052,100431,6200000,33020051,6910302,200082,6910300,NA,NA,NA,NA
MTN Pulse GHC 10,MashUp GHC 1 (30% Voice/70% Data/50 SMS),33010052,6280052,100048,6280000,33020051,6910302,200082,6910300,NA,NA,NA,NA
MTN Pulse GHC 11,MashUp GHC 1 (30% Voice/70% Data/50 SMS),33010052,6450052,100434,6450000,33020051,6910302,200082,6910300,NA,NA,NA,NA
MTN Pulse GHC 12,Mashup WhatsApp offer,32112203,6612205,200252,6710000,33020051,6910302,200082,6910300,NA,NA,NA,NA
MTN Pulse GHC 13,MashUp GHC 1 (100% Data),"33010050
",6450050,100434,6450000,33020051,6920303,200082,6910300,NA,NA,NA,NA
MTN Pulse GHC 14,MashUp GHC 1 (100% Data),"33010050
",6280050,100048,6280000,33020051,6920303,200082,6910300,NA,NA,NA,NA
MTN Pulse GHC 15,Mashup WhatsApp offer,32112203,6612206,200252,6710000,33020051,6920303,200082,6910300,NA,NA,NA,NA
MTN Pulse Flexi ( GHC 0.07-4.99),Mashup Flexi (GHC 0.07 – 4.99) (50% Voice/50% Data/50 SMS),"33020015
",6000015,100431,6200000,33020051,6910304,200082,6910300,NA,NA,NA,NA
MTN Pulse Flexi ( GHC 0.07-4.99),Mashup Flexi (GHC 0.07 – 4.99) (50% Voice/50% Data/50 SMS),"33020015
",6280015,100048,6280000,33020051,6910304,200082,6910300,NA,NA,NA,NA
MTN Pulse Flexi ( GHC 0.07-4.99),Mashup Flexi (GHC 0.07 – 4.99) (50% Voice/50% Data/50 SMS),"33020015
",6450015,100434,6450000,33020051,6910304,200082,6910300,NA,NA,NA,NA
MTN Pulse Flexi ( GHC 0.07-4.99),Mashup WhatsApp offer,32112203,6612207,200252,6710000,33020051,6910304,200082,6910300,NA,NA,NA,NA
MTN Pulse Flexi ( GHC 0.07-4.99),"Mashup Flexi (GHC 0.07 –
4.99) (100% Data)","33020016 
",6450016,100434,6450000,33020051,6910305,200082,6910300,NA,NA,NA,NA
