DEDICATED_ACCOUNT_ID, DESCRIPTION, UNIT_TYPE
1, Mobile Money Bonus onnet,1
2, SMS Bundle Onnet and OffNet,1
3, 2 GHc Data Bundle-60MB,1
4, 20 GHC Data Bundle 1GB,1
5, Daily Social Bundle,1
6, 40 GHC Data Bundle 2.5 GB,1
7, SME_Plus_Data,1
8, J4U Offer,1
9, Birthday Promo On Recharge,1
10, Handset,1
11, MUL Credit Limit,1
12, 5ghc data voucher 350mb,1
13, FonAd Reward System,1
14, Pre-payments,1
15, EXCESS PAYMENT,1
16, Roaming Credit Limit,1
17, Sub suspension,1
18, Weekly 3 Ghc Data Bundle-180MB,1
19, Weekly 5 GHc Data Bundle -  150MB,1
20, Monthly 10GHc Data Bundle - 400MB,1
21, Akwaaba onnet voice_Or_SME_Plus_Voice,1
22, FlyTxt BOR,1
23, Vehicle Tracking Package DA,1
24, Akwaaba Recharge,1
25, HV_PACK_Onnet_Voice,1
26, Combo Bundle Voice,1
27, Combo Bundle OffNet Voice,1
28, Combo Bundle OnNet SMS,1
29, Holiday Data Bonus,1
30, Combo Bundle Data,1
31, 60 GHc Data Bundle 4GB,1
32, 80 GHC Data Bundle 6GB,1
33, 120 GHC Data Bundle 10GB,1
34, FB1_Data,1
35, Glico 400MB Life Style,1
36, Birthday reward onnet voice,1
37, Birthday reward sms onnet,1
38, Birthday reward Data,1
39, 399GHc(200Gb) 30days Data Bundle,1
40, SME_Plus_Offnet_Voice,1
41, J4U - IDD Bundle,1
42, SME_Bundle_SMS,1
43, Mobile Money Promo Voice DA,1
44, MTN Wifi Broadband_Prepaid_5GB_20ghc,1
45, MTN Wifi Broadband_Prepaid_10GB_40ghc,1
46, MTN Wifi Broadband_Prepaid_20GB_75ghc,1
47, Youth Voice,1
48, Youth SMS,1
49, Youth Data,1
50, Mobile Money Promo,1
51, PayGO MTN Broadband_Daily Bundles,1
52, Akwaaba 50MB Data Bonus,1
53, BonusDA / MV 40 day Churn,1
54, 250GB Data Bundle,1
55, Weekly Social Bundle,1
56, MTN Wifi Broadband_Prepaid_45GB_120ghc,1
57, Asset Tracking Data Bundle,1
